Load	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Ext	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
47	25.00	0.55	0.35	0.77	516.92	-5.07	2060.47	-5.69	2309.30	-4.94	2005.63	-4.54	1841.67	-3.77	1529.33	-4.12	1673.09	45.00	0.55	0.20	0.91	354.48	-0.93	426.62	28.64	0.55	0.32	-4.07	2238.90	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
48	25.00	0.55	0.35	0.77	516.92	-5.07	2060.47	-5.69	2309.30	-4.94	2005.63	-4.54	1841.67	-3.77	1529.33	-4.12	1673.09	45.00	0.55	0.20	0.91	354.48	-0.93	426.62	29.24	0.55	0.32	-4.08	2216.06	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
49	25.00	0.55	0.35	0.77	516.92	-8.65	2405.15	-7.92	2203.12	-7.17	1993.27	-6.94	1930.74	-5.82	1617.46	-5.84	1624.68	45.00	0.55	0.20	0.91	354.48	-0.93	426.62	29.64	0.55	0.32	-4.09	2200.89	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
50	25.00	0.55	0.35	0.77	516.92	-8.65	2405.15	-7.92	2203.12	-7.17	1993.27	-6.94	1930.74	-5.82	1617.46	-5.84	1624.68	45.00	0.55	0.20	0.91	354.48	-0.93	426.62	29.84	0.55	0.31	-4.09	2193.31	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
Int	Frame 1	DL	SL	Wutt	*	Wdspan1	*	Wdspan2	*	Wdspan3	*	Wdspan4	*	Wdspan5	*	Wdspan6	*	Frame 2	DL	SL	Wutt	*	Wdtt	*	Frame 3	DL	SL	Wdtt	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
*	Angle	N/mm	N/mm	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	N/mm	N	Angle	N/mm	N/mm	N/mm	N	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
1	25.00	0.55	0.35	0.52	370.61	-8.37	2390.84	-7.77	2220.50	-6.42	1834.37	-6.08	1736.95	-5.71	1629.96	-5.76	1645.50	45.00	0.55	0.20	0.47	219.58	-0.39	147.82	26.61	0.55	0.34	-2.16	1122.00	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
2	25.00	0.55	0.35	0.52	370.61	-5.40	2213.35	-5.87	2407.13	-4.87	1993.70	-4.39	1796.92	-3.95	1617.59	-3.95	1619.39	45.00	0.55	0.20	0.47	219.58	-0.39	147.82	26.52	0.55	0.34	-2.16	1122.48	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
3	25.00	0.55	0.35	0.52	370.61	-5.40	2213.35	-5.87	2407.13	-4.87	1993.70	-4.39	1796.92	-3.95	1617.59	-3.95	1619.39	45.00	0.55	0.20	0.47	219.58	-0.39	147.82	26.34	0.55	0.34	-2.15	1123.46	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
4	25.00	0.55	0.35	0.52	370.61	-5.40	2213.35	-5.87	2407.13	-4.87	1993.70	-4.39	1796.92	-3.95	1617.59	-3.95	1619.39	45.00	0.55	0.20	0.47	219.58	-0.39	147.82	26.06	0.55	0.34	-2.13	1124.92	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
5	25.00	0.55	0.35	0.52	370.61	-5.40	2213.35	-5.87	2407.13	-4.87	1993.70	-4.39	1796.92	-3.95	1617.59	-3.95	1619.39	45.00	0.55	0.20	0.47	219.58	-0.39	147.82	25.69	0.55	0.35	-2.11	1126.87	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
6	25.00	0.55	0.35	0.43	275.60	-5.40	2213.35	-5.87	2407.13	-4.87	1993.70	-4.39	1796.92	-3.95	1617.59	-3.95	1619.39	45.00	0.55	0.20	0.28	172.01	-0.16	54.90	25.24	0.55	0.35	-1.08	490.09	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
